,number,value,datetime_start,datetime_complete,duration,params_bias_mutate_rate,params_elitism,params_final_crossover_rate,params_final_mutation_rate,params_initial_crossover_rate,params_initial_mutation_rate,params_pop_size,params_response_mutate_rate,params_weight_mutate_rate,state
0,0,63.318519158263896,2024-10-15 15:28:36.575165,2024-10-15 15:46:11.088848,0 days 00:17:34.513683,0.32990454443632405,1,0.353217403463827,0.4089558561388418,0.5312198557349987,0.3487468194167285,95,0.14527110709479257,0.53980355361471,COMPLETE
1,1,34.679798788581024,2024-10-15 15:46:11.089718,2024-10-15 16:23:27.912936,0 days 00:37:16.823218,0.02516196383735063,5,0.5001747314437548,0.020781248106247305,0.19052666170066243,0.43133679675563236,67,0.36813890790761594,0.2175012016476646,COMPLETE
2,2,48.04569098849896,2024-10-15 16:23:27.913706,2024-10-15 17:29:38.754461,0 days 01:06:10.840755,0.19464556406858738,6,0.5827558043032405,0.5613341770344388,0.13229667592343694,0.18213726641065356,98,0.21769201628347384,0.3273603262037697,COMPLETE
3,3,39.01323792911322,2024-10-15 17:29:38.755303,2024-10-15 17:56:49.173629,0 days 00:27:10.418326,0.2929666312872878,3,0.5913565396021935,0.23974329591150859,0.5393557815419391,0.28998750103248533,81,0.5193049179404733,0.5938636204182732,COMPLETE
4,4,43.75181601785973,2024-10-15 17:56:49.174463,2024-10-15 18:50:39.165773,0 days 00:53:49.991310,0.2761184198739111,6,0.3981552935262397,0.1486265742204464,0.5530347725761663,0.20689391238281168,79,0.18183864446198164,0.3619146611636833,COMPLETE
5,5,34.31383231468661,2024-10-15 18:50:39.166650,2024-10-15 19:23:42.861961,0 days 00:33:03.695311,0.11527184626383616,5,0.371425550233334,0.393560286230072,0.1439578872273556,0.5301850013158372,60,0.09136927001401647,0.5568552360434853,COMPLETE
6,6,56.657627687123764,2024-10-15 19:23:42.862454,2024-10-15 19:47:09.285966,0 days 00:23:26.423512,0.22349629560220433,4,0.5125862189509801,0.1998471681629251,0.40438946821712735,0.3884507619602407,52,0.43519270734626325,0.19151988391533598,COMPLETE
7,7,55.75221765606621,2024-10-15 19:47:09.286472,2024-10-15 20:41:09.963871,0 days 00:54:00.677399,0.25033274758344465,6,0.46398803125768473,0.2851532916963701,0.5873295262165147,0.4915238756297148,82,0.5164670654259402,0.2467480716871117,COMPLETE
8,8,34.449086422636434,2024-10-15 20:41:09.965557,2024-10-15 21:12:29.000968,0 days 00:31:19.035411,0.028135122735590448,5,0.23109910297200875,0.11203472278320123,0.2007177187855022,0.31029741249544973,52,0.3308572590733072,0.030082033406377447,COMPLETE
9,9,62.143888626322905,2024-10-15 21:12:29.002583,2024-10-15 22:05:14.811633,0 days 00:52:45.809050,0.4627853353204844,6,0.2497443268902202,0.24235418608894715,0.1620209182459607,0.16875934275443089,82,0.05546203142627449,0.49610478239039507,COMPLETE
10,10,70.16927107958017,2024-10-15 22:05:14.813259,2024-10-15 22:20:49.635681,0 days 00:15:34.822422,0.45654251186933703,0,0.042178344169344184,0.4131089227549447,0.38154823879675404,0.019389105552927666,99,0.20277240773238586,0.4496509989429477,COMPLETE
11,11,70.23052229596689,2024-10-15 22:20:49.636171,2024-10-15 22:36:36.193147,0 days 00:15:46.556976,0.435722480892945,0,0.020192889960861292,0.4243759205339072,0.39343758193443734,0.06573356368054592,99,0.21241030251471543,0.44970999427736336,COMPLETE
12,12,62.143888626322905,2024-10-15 22:36:36.193629,2024-10-15 22:50:36.049681,0 days 00:13:59.856052,0.5810787213377544,0,0.023470662334600895,0.4953274913203144,0.33957408300778424,0.03404917665289969,91,0.2498472465086603,0.42198666066971596,COMPLETE
13,13,69.78826564854444,2024-10-15 22:50:36.050165,2024-10-15 23:06:34.690653,0 days 00:15:58.640488,0.42266497689997,1,0.01243141983954971,0.38195745385065266,0.014418187192298981,0.08616221729305827,90,0.2728156117433752,0.44108564682147544,COMPLETE
14,14,63.32199963898476,2024-10-15 23:06:34.691133,2024-10-15 23:22:04.904020,0 days 00:15:30.212887,0.4940349950836848,0,0.13470457307043732,0.4732476204631527,0.42324618463929836,0.014463982257059256,99,0.11119717957827405,0.4363422322201764,COMPLETE
15,15,31.056473984772698,2024-10-15 23:22:04.904506,2024-10-15 23:42:01.986829,0 days 00:19:57.082323,0.39449968565023574,2,0.1100660474616757,0.33647747685304563,0.30166009614615624,0.10500435497040185,89,0.027901633928588687,0.36693039524097953,COMPLETE
16,16,61.45763993663571,2024-10-15 23:42:01.987339,2024-10-15 23:54:04.674571,0 days 00:12:02.687232,0.5569749450754338,1,0.11270728529855434,0.5662923553559308,0.4459709233049967,0.10578106629077082,73,0.3862045190850034,0.5007922452616241,COMPLETE
17,17,70.05768872453831,2024-10-15 23:54:04.675046,2024-10-16 00:13:33.528301,0 days 00:19:28.853255,0.3773058754747668,2,0.1801079279407385,0.478866692182679,0.29722315312305636,0.5948573014142307,87,0.17655518305401674,0.28994187349293826,COMPLETE
18,18,62.414635956347624,2024-10-16 00:13:33.528783,2024-10-16 00:29:17.796241,0 days 00:15:44.267458,0.5165876189299731,0,0.061430903533475884,0.33005437847888086,0.36844406900557247,0.25107181991790495,100,0.29196954271016134,0.1087425700410769,COMPLETE
19,19,44.05442257265477,2024-10-16 00:29:17.796723,2024-10-16 00:49:52.232950,0 days 00:20:34.436227,0.44680892558505253,2,0.26375389304034824,0.4317294265603788,0.4870383689814648,0.06820685386848327,94,0.22047896866239203,0.3968672573098446,COMPLETE
20,20,36.75760135804483,2024-10-16 00:49:52.233442,2024-10-16 01:13:56.286001,0 days 00:24:04.052559,0.36955537024838403,3,0.17863940204693404,0.5994869721029763,0.25481959191937764,0.11767342891115648,73,0.3302246260124183,0.48345914856330885,COMPLETE
21,21,45.86224461220462,2024-10-16 01:13:56.286486,2024-10-16 01:33:52.538963,0 days 00:19:56.252477,0.35189780021671474,2,0.06752575766350716,0.48118576500394855,0.30937681623371466,0.5992793608035669,88,0.1678892538572407,0.27022160030341397,COMPLETE
22,22,61.713673574760826,2024-10-16 01:33:52.539445,2024-10-16 01:48:28.208083,0 days 00:14:35.668638,0.4211958757082101,1,0.17454385695780172,0.5149093469635472,0.3889068849891093,0.019359312882460983,86,0.20248119816988835,0.30022320256032564,COMPLETE
23,23,70.07486238410596,2024-10-16 01:48:28.208556,2024-10-16 02:09:09.850706,0 days 00:20:41.642150,0.5043678694380231,0,0.06778464994071523,0.3555049567058187,0.2624576803993781,0.5906205373294066,94,0.12766147168478686,0.16319220680178703,COMPLETE
24,24,69.90487382334166,2024-10-16 02:09:09.851207,2024-10-16 02:23:53.824097,0 days 00:14:43.972890,0.540985398137519,0,0.05359397787491592,0.33533076298956926,0.24998669091393114,0.14687432753370921,95,0.12070591758930246,0.17729077485731845,COMPLETE
25,25,69.99617990946787,2024-10-16 02:23:53.824722,2024-10-16 02:39:20.425937,0 days 00:15:26.601215,0.4780820461058792,0,0.09045441155882578,0.43669760511436284,0.46263550046970925,0.23068119509204876,97,0.0991462847323107,0.12611302386117096,COMPLETE
26,26,62.90781566226032,2024-10-16 02:39:20.426418,2024-10-16 02:58:01.823463,0 days 00:18:41.397045,0.5958797502992065,1,0.013156207320866285,0.3636370048623035,0.35554523669467214,0.4764065535173611,93,0.2505131147984448,0.03470946553191537,COMPLETE
27,27,70.03946946053372,2024-10-16 02:58:01.823949,2024-10-16 03:13:49.304215,0 days 00:15:47.480266,0.5168315768030964,0,0.12769790930621822,0.28596226913582007,0.24901477924600787,0.05495625432940199,99,0.058311815804375416,0.13323928615350195,COMPLETE
28,28,62.19899764293472,2024-10-16 03:13:49.304687,2024-10-16 03:28:21.382984,0 days 00:14:32.078297,0.42926494101361246,1,0.3086274178461904,0.43806309772392976,0.49623837499315143,0.3736644967775792,85,0.1375590577220609,0.34378535211127037,COMPLETE
29,29,71.57362534822786,2024-10-16 03:28:21.383466,2024-10-16 03:43:28.192423,0 days 00:15:06.808957,0.3237753236015348,0,0.15980580244011225,0.40639263774071505,0.052162310120779626,0.29839857214256316,95,0.5923157049754939,0.541673314271824,COMPLETE
30,30,62.850453089176675,2024-10-16 03:43:28.192894,2024-10-16 03:55:06.769304,0 days 00:11:38.576410,0.32396829145585243,1,0.15544442995941984,0.4028774470118701,0.06285048564044995,0.3110409220359749,67,0.5967204900029554,0.5705097603333579,COMPLETE
31,31,73.25318367632764,2024-10-16 03:55:06.769775,2024-10-16 04:16:59.307635,0 days 00:21:52.537860,0.4856922882200584,0,0.06957466791681326,0.3618820359917754,0.3276435798729214,0.5292155144805903,95,0.15015508877056483,0.5142192411719388,COMPLETE
32,32,66.38410322483834,2024-10-16 04:16:59.308134,2024-10-16 04:32:09.685398,0 days 00:15:10.377264,0.40092779116633476,0,0.20511998786024935,0.42231339869212126,0.3305576748560683,0.39960068801273047,95,0.39252972021855026,0.5266625631941537,COMPLETE
33,33,69.94799699284147,2024-10-16 04:32:09.685887,2024-10-16 04:49:19.139144,0 days 00:17:09.453257,0.3367582033957934,1,0.04105570221489439,0.5251299260720164,0.09061265154239692,0.4243582046238328,97,0.24532776228172432,0.4707046839584799,COMPLETE
34,34,69.6571748295556,2024-10-16 04:49:19.139802,2024-10-16 05:03:54.791193,0 days 00:14:35.651391,0.18807830539871448,0,0.09272410964952228,0.30740292302359973,0.20726314030789628,0.14802882901346523,92,0.46250172009631557,0.5251986174865622,COMPLETE
35,35,69.42022501976601,2024-10-16 05:03:54.791686,2024-10-16 05:24:01.442493,0 days 00:20:06.650807,0.4578209381384072,1,0.08765450101677771,0.017646606005709164,0.4237379604570199,0.27173082060898684,97,0.5983429121517552,0.3958629238151167,COMPLETE
36,36,68.80850447277317,2024-10-16 05:24:01.442981,2024-10-16 05:57:06.847783,0 days 00:33:05.404802,0.2911485295461731,4,0.2953431849569887,0.4524098047199576,0.3781020916153681,0.3528494917942041,76,0.16059713652978422,0.5959246148046946,COMPLETE
37,37,70.0832133341844,2024-10-16 05:57:06.848276,2024-10-16 06:11:22.081789,0 days 00:14:15.233513,0.15243731923940607,0,0.030271877914265805,0.3901928637509967,0.40499044907318243,0.20593921526753148,91,0.20723869212054677,0.5482274686200692,COMPLETE
38,38,48.912355152049244,2024-10-16 06:11:22.082268,2024-10-16 06:40:58.667126,0 days 00:29:36.584858,0.2532907304414439,3,0.15018039935308114,0.23934781916577832,0.46887496809613843,0.554879918276316,96,0.34094438689635476,0.4585022779528565,COMPLETE
39,39,35.34441682463039,2024-10-16 06:40:58.667645,2024-10-16 07:02:06.404440,0 days 00:21:07.736795,0.31715575942410484,2,0.2197692766617789,0.5327031836386621,0.5212240734380384,0.4482616082051773,100,0.5526467192376383,0.5734115519827313,COMPLETE
40,40,66.46317629318125,2024-10-16 07:02:06.404929,2024-10-16 07:21:03.558103,0 days 00:18:57.153174,0.3585486332463953,0,0.0764129704576894,0.3675604453418688,0.10787399171765724,0.5174356141232295,84,0.4559129687236041,0.5088600597130195,COMPLETE
41,41,63.01825845047025,2024-10-16 07:21:03.558592,2024-10-16 07:35:34.444794,0 days 00:14:30.886202,0.14853191560466047,0,0.04578643816102908,0.3983572470102185,0.41063515523988,0.19317216733318338,91,0.2057983301329859,0.5435118514594165,COMPLETE
42,42,70.12107396192295,2024-10-16 07:35:34.445274,2024-10-16 07:49:58.135163,0 days 00:14:23.689889,0.09410897548646321,0,0.03497460016718354,0.4077446025291286,0.3447309548385946,0.22525176638604533,93,0.19820223483091767,0.5500774116239214,COMPLETE
43,43,70.08511453015942,2024-10-16 07:49:58.135638,2024-10-16 08:07:17.310757,0 days 00:17:19.175119,0.062011312218484216,1,0.010462500371696055,0.45937284857053534,0.33154207285180903,0.316373570592432,100,0.278547499454012,0.46467722264958167,COMPLETE
44,44,70.05768872453831,2024-10-16 08:07:17.311237,2024-10-16 08:22:02.664255,0 days 00:14:45.353018,0.07292203822134291,0,0.10645197825681402,0.4093972606431708,0.28115951803458095,0.33663946902250486,93,0.07302709775940361,0.4079725555183639,COMPLETE
45,45,62.99650516041209,2024-10-16 08:22:02.664728,2024-10-16 08:42:33.081842,0 days 00:20:30.417114,0.2288638381363871,1,0.046436673400059886,0.08479347025667411,0.3520377325994413,0.271870339660545,97,0.15293185557046918,0.5723301336362293,COMPLETE
46,46,66.40364222513006,2024-10-16 08:42:33.082346,2024-10-16 09:20:31.316133,0 days 00:37:58.233787,0.4797242134193433,4,0.4306596481714956,0.2912880657507135,0.22561008854646017,0.04992204102112506,89,0.23793080198074523,0.5192470817279442,COMPLETE
47,47,70.27846222446975,2024-10-16 09:20:31.316625,2024-10-16 09:29:02.529821,0 days 00:08:31.213196,0.5472601648708001,0,0.1364979096657958,0.3221177821852334,0.4358264714543866,0.1651697213626826,55,0.31348888630596805,0.44659721782839124,COMPLETE
48,48,69.76408063293997,2024-10-16 09:29:02.530296,2024-10-16 09:38:03.681303,0 days 00:09:01.151007,0.5497815582872928,0,0.13409228091109138,0.26131270313318056,0.4351075687011024,0.13821220020390534,56,0.5022740349592677,0.3725413248913645,COMPLETE
49,49,57.962276204659915,2024-10-16 09:38:03.681770,2024-10-16 09:49:26.153504,0 days 00:11:22.471734,0.5619471731608399,1,0.19750102847117562,0.30909405820624414,0.025404547998722955,0.08608723609028424,66,0.30718753682098743,0.427703340880155,COMPLETE
